supConstruida,terreno,title,valorCLP,valorUF,x,y
45,49,"Avenida Santa Rosa 146, Santiago",350000,12,-33.44643,-70.64534
45,45,"METRO PARQUE ALMAGRO- Arturo Prat, Santiago - Departamento 407",350000,12,-33.45034,-70.64913
30,30,Santo Domingo  1391 - Departamento 1503,250000,8,-33.43669,-70.65695
37,40,"Miraflores 455, Santiago",350000,12,-33.43907,-70.64552
55,65,Portugal 415 - Departamento 1110,345000,12,-33.44734,-70.63565
38,38,Vicuña Mackenna 2004/Metro Ñuble,335000,11,-33.47039,-70.62599
35,35,Full Amoblados: Bellas Artes,330000,11,-33.43812,-70.64632
38,42,Santa Isabel 176 - Departamento 512,330000,11,-33.44807,-70.63407
38,45,Santa Isabel 77,335441,12,-33.44762,-70.63334
48,48,Catedral 3152/ Herrera,320000,11,-33.44027,-70.67823
47,50,AV. ESPAÑA / METRO REPUBLICA,321464,11,-33.45427,-70.66920
40,43,San Francisco  242 - Departamento B-1206,320000,11,-33.45014,-70.64672
50,50,Mapocho / Maipu,320000,11,-33.43253,-70.67732
38,38,Eleuterio Ramirez/Nataniel Cox,320000,11,-33.44998,-70.65356
40,40,Dep amoblado 1 dorm Metro Universidad de Chile,320000,11,-33.44616,-70.64873
40,40,San Ignacio/Coquimbo/Metro Ohiggins,310000,11,-33.45796,-70.65552
32,36,"Eleuterio Ramírez 1291, Santiago",312000,11,-33.44979,-70.65299
40,44,Eyzaguirre 819/Metro Parque Almagro,310000,11,-33.45203,-70.64683
32,35,Sara del Campo 535,317000,11,-33.44428,-70.64346
32,32,METRO BELLAS ARTES. BARRIO LASTARRIA,310000,11,-33.43579,-70.64630
33,35,VERGARA / METRO TOESCA,300220,10,-33.45383,-70.66095
33,35,Vicuña Mackenna 2004,310000,11,-33.47039,-70.62599
33,36,"San Francisco 265, Santiago",300000,10,-33.44796,-70.64756
44,44,Lira 140/ Diagonal Paraguay,300000,10,-33.44451,-70.64031
28,29,Avenida Vicuña Mackenna 327 - Departamento 1210,301897,10,-33.44584,-70.63295
25,25,Rondizonni,230000,8,-33.46700,-70.65380
29,29,Serrano HOME STUDIO 611,230000,8,-33.45253,-70.64786
25,25,Metro Santa Isabel - Santa Isabel,230000,8,-33.44750,-70.63320
28,28,Sector Av. Matta - Metro Avenida Matta /,230000,8,-33.46160,-70.64850
28,28,metro parque almagro,229000,8,-33.44938,-70.64905
26,30,metro toesca,230000,8,-33.45399,-70.65995
24,24,Mapocho 1522 - Departamento 1406,230000,8,-33.43237,-70.65909
24,24,San Martin,220000,8,-33.43177,-70.66291
40,40,Viollier 62 - Departamento B,225000,8,-33.44306,-70.63461
24,24,San Diego / Eleuterio Ramirez,220000,7,-33.44946,-70.65088
28,28,Calle San Ignacio de Loyola 902,225000,8,-33.45796,-70.65552
22,22,Mario Kreutzberger 1520,220000,7,-33.43608,-70.65893
20,20,General Gana 1063,220832,7,-33.47089,-70.64797
23,23,Serrano  611,220000,7,-33.45253,-70.64786
24,24,Catedral  / Barrio Yungay,210000,7,-33.44027,-70.67817
40,40,Huerfanos 714 - Departamento 601,220000,7,-33.46912,-70.64200
22,22,Mapocho / San Martin,210000,7,-33.43249,-70.66180
24,24,Avenida Manuel Rodríguez 881 - Departamento 1409,220000,7,-33.43341,-70.66006
25,26,SAN DIEGO / PEDRO LAGOS,210000,7,-33.46596,-70.64907
25,25,Lord Cochrane 635 - Departamento 1207A,210000,7,-33.45387,-70.65439
60,60,Monjitas 744,30000,1,-33.43698,-70.64777
23,23,Mario Kreutzberger 1520,200000,7,-33.43590,-70.65900
13,13,Fray Camilo Henríquez 416,200000,7,-33.44717,-70.63461
60,60,Monjitas 744,30000,1,-33.43698,-70.64777
30,30,Zenteno 138,30000,1,-33.44698,-70.65210
48,48,Santiago Downtown,110000,3,-33.44350,-70.65725
42,46,Palacio de La Moneda,75000,2,-33.44267,-70.65919
48,48,Santiago Downtown,110000,3,-33.44350,-70.65725
42,46,METRO LA MONEDA / LOS HEROES,75000,2,-33.44267,-70.65919
42,46,MONEDA  / TUCAPEL JIMENEZ,59000,2,-33.44267,-70.65919
42,46,MONEDA  1617,59000,2,-33.44267,-70.65919
70,70,"Amplio Departamento, Huérfanos 1400, Amoblado, Metro Moneda",60000,2,-33.44014,-70.65649
60,60,"Monjitas 744, Sector Bellas Artes",40000,1,-33.43675,-70.64491
47,51,Catedral 1310,41000,1,-33.43793,-70.65582
60,60,"Monjitas 744, Sector Bellas Artes",40000,1,-33.43675,-70.64491
45,48,moneda  1617,39900,1,-33.44267,-70.65919
45,48,moneda  1617,36000,1,-33.44267,-70.65919
25,27,Avenida Portugal 415,36000,1,-33.44741,-70.63585
45,50,Moneda  / Tucapel Jimenez,35000,1,-33.44267,-70.65919
48,50,"Bellas artes de lujo!, maravillosa vista.",35000,1,-33.43559,-70.64803
45,48,moneda  1617,35000,1,-33.44267,-70.65919
24,26,Eleuterio Ramírez 825 - Departamento 1503B,35000,1,-33.44844,-70.64722
45,48,moneda  1617,36000,1,-33.44267,-70.65919
36,38,portugal  415,35000,1,-33.44734,-70.63570
45,50,Moneda  / Tucapel Jimenez,34000,1,-33.44267,-70.65919
32,35,Moneda  1617,33000,1,-33.44277,-70.65929
40,40,Nueva San Martín 1490,30000,1,-33.44350,-70.65725
30,30,Nueva San Martín 1490,30000,1,-33.44359,-70.65736
30,30,San Francisco  335,28000,1,-33.44915,-70.64710
28,31,Moneda  1617,29000,1,-33.44277,-70.65929
28,31,Moneda  1617,28000,1,-33.44277,-70.65929
40,40,Lord Cochrane 1030,26000,0,-33.45934,-70.65334
45,50,Moneda  / Tucapel Jimenez,34000,1,-33.44267,-70.65919
28,31,Moneda  1617,28000,1,-33.44277,-70.65929
45,48,Avenida Santa Rosa 325,25000,0,-33.44842,-70.64480
50,50,Monjitas 744,25000,0,-33.43725,-70.64782
27,27,José Victorino Lastarria 104,25000,0,-33.43972,-70.64128
50,50,Monjitas 744,25000,0,-33.43725,-70.64782
140,140,Merced - Estados Unidos,1200000,43,-33.43710,-70.63860
200,410,Metro WDD,1000000,35,-33.44426,-70.65649
20,20,Sodimac,503162,18,-33.46584,-70.62809
50,50,Lord Cochrane 298,465000,16,-33.44998,-70.65447
50,78,AGUSTINAS 681 - Departamento XX,480000,17,-33.44031,-70.64633
190,200,Antiguo / Parque Forestal / Vistas Incre,1341764,48,-33.43620,-70.64280
65,65,General Mackenna 1555,450000,16,-33.43323,-70.65973
60,60,metro santa ana,450000,16,-33.43933,-70.66118
61,61,Marín 145 - Departamento 1219,450000,16,-33.44570,-70.63455
55,57,Santa Elena 1282,420000,15,-33.45871,-70.63033
70,72,Avenida Libertador Bernardo O'Higgins 980 - Departamento 901,430000,15,-33.44422,-70.65011
67,67,Avenida Santa Rosa 634,420000,15,-33.45226,-70.64407
60,60,Manuel Antonio Tocornal 455,450000,16,-33.44905,-70.64082
60,63,METRO PUC,410000,14,-33.44657,-70.63623
38,38,Serrano  / Padre Alonso de Ovalle,30000,1,-33.44582,-70.64907
70,80,Avenida Portugal 415,430000,15,-33.43839,-70.65934
