,supConstruida,terreno,title,valorCLP,valorUF,x,y,valorPesos,evaluation
1257,52.0,55.0,carmen 368,450000,16,-33.44822,-70.64199,450000,Yes
1258,45.0,45.0,San Martín / San Pablo,450000,16,-33.43375,-70.65916,450000,Yes
1259,36.0,72.0,Metro Universidad de Chile/ Arturo Prat,450000,16,-33.44422,-70.65011,450000,Yes
1260,49.0,49.0,Catedral 1885,450000,16,-33.4386,-70.66369,450000,Yes
1261,60.0,64.0,AMPLIO Depto 2D|2B a 1 Minuto del Metro Santa Lucia,450000,16,-33.44299,-70.64496,450000,Yes
1262,50.0,50.0,Vicuña Mackena -Santa Isabel,450000,16,-33.44898,-70.63209,450000,Yes
1263,47.0,50.0,ALMAGRO CON ESTACIONAMIENTO Portugal con,440000,15,-33.4528,-70.6341,440000,Yes
1264,65.0,65.0,Vergara / Domeyko,430000,15,-33.45617,-70.66113,430000,Yes
1265,60.0,60.0,Carabineros de Chile 22,450000,16,-33.438590000000005,-70.63564000000001,450000,Yes
1266,60.0,68.0,"Arriendo Departamento 2 Dormitorios 2 Baños, inmejorable ubicación, cercano a metros Toesca, Moneda o Parque Almagro.",440000,15,-33.45075,-70.65424,440000,Yes
1267,30.0,30.0,San Francisco  335,430000,15,-33.44915,-70.6471,430000,Yes
1268,66.0,66.0,San Diego  516,430000,15,-33.45217,-70.65011,430000,Yes
1269,50.0,52.0,Lazo 1368,430000,15,-33.49863,-70.66034,430000,Yes
1270,53.0,53.0,serrano / alonso ovalle,420000,15,-33.445190000000004,-70.64924,420000,Yes
1271,40.0,42.0,Santiago Concha  1148 - Departamento 1328,433403,15,-33.4586,-70.64024,433403,Yes
1272,59.0,64.0,Metro Cal y Canto,430000,15,-33.4343,-70.656,430000,Yes
1273,55.0,55.0,SAN FRANCISCO 632 - Departamento 210,430000,15,-33.452529999999996,-70.64618,430000,Yes
1274,55.0,58.0,"DEL VALLE PROPIEDADES ARRIENDA DEPTO NUEVO SIN USO, HERMOSA VISTA A PARQUE LOS REYES",420000,15,-33.429990000000004,-70.66756,420000,Yes
1275,69.0,69.0,Tarapaca / Nataniel Cox,433278,15,-33.44784,-70.65385,433278,Yes
1276,44.0,51.0,Departamento nuevo Edificio moderno solo adultos cerca metro,430000,15,-33.45,-70.65382,430000,Yes
1277,60.0,66.0,SANTIAGO  1320 - Departamento 617,430000,15,-33.462579999999996,-70.65159,430000,Yes
1278,48.0,50.0,METRO ÑUBLE,430000,15,-33.46738,-70.62661,430000,Yes
1279,58.0,60.0,METRO TOESCA,430000,15,-33.45325,-70.65765999999999,430000,Yes
1280,60.0,63.0,Padre Alonso de Ovalle 868,430000,15,-33.44582,-70.64837,430000,Yes
1281,40.0,47.0,San Isidro-Carmen,430000,15,-33.4483,-70.6438,430000,Yes
1282,55.0,58.0,Avenida Santa Rosa 146,430000,15,-33.445640000000004,-70.64508000000001,430000,Yes
1283,60.0,65.0,LIRA / SANTA ISABEL,430483,15,-33.44894,-70.63843,430483,Yes
1284,36.0,38.0,"General Mackenna, Barrio Dieciocho",450000,16,-33.43318,-70.65949,450000,Yes
1285,75.0,75.0,Presidente Balmaceda,450000,16,-33.4277,-70.6742,450000,Yes
1286,67.0,67.0,lord cochrane / eleuterio ramirez,450000,16,-33.450509999999994,-70.655,450000,Yes
1287,49.0,53.0,serrano 627,450000,16,-33.452729999999995,-70.64779,450000,Yes
1288,64.0,64.0,jose miguel de la barra  508,450000,16,-33.43646,-70.64358,450000,Yes
1289,50.0,53.0,Santa Victoria / Fray Camilo Henríquez,430000,15,-33.44712,-70.63495,430000,Yes
1290,46.0,46.0,Bernardo Ohiggins,450000,16,-33.4452,-70.6491,450000,Yes
1291,38.0,41.0,Vicuña Mackenna / Metro Santa Isabel,450000,16,-33.4479,-70.6322,450000,Yes
1292,67.0,67.0,Amplio depto. en arriendo en metro Santa Isabel,450000,16,-33.4494,-70.63341,450000,Yes
1293,53.0,53.0,PARQUE FORESTAL / METRO CATOLICA / BUERA,450000,16,-33.449,-70.6694,450000,Yes
1294,47.0,47.0,Matucana 1251,440000,15,-33.43122,-70.6806,440000,Yes
1295,68.0,72.0,"Lord Cochrane, Santiago",449000,16,-33.448170000000005,-70.65517,449000,Yes
1296,50.0,53.0,Eleuterio Ramírez  525,445000,15,-33.44781,-70.6437,445000,Yes
1297,46.0,52.0,METRO MONEDA / TOESCA con ESTACIONAMIENTO!!!,445000,16,-33.450309999999995,-70.65456,445000,Yes
1298,50.0,53.0,"Manuel Antonio Tocornal 359, Santiago",450000,16,-33.44794,-70.64095999999999,450000,Yes
1299,62.0,66.0,San Isidro 250,450000,16,-33.44681,-70.64357,450000,Yes
1300,67.0,67.0,arriendo AMOBLADO FLEXIBILIDAD DOCUMENTACIÓN Parq los Reyes - Departamento 2D+2B,440000,15,-33.42969,-70.66908000000001,440000,Yes
1301,59.0,61.0,Argomedo 321,435000,15,-33.449670000000005,-70.63597,435000,Yes
1302,67.0,67.0,Ricardo Cumming 1350,440000,15,-33.4294,-70.66976,440000,Yes
1303,88.0,88.0,Barrio Yungay: Arriendo de loft,440000,15,-33.44235,-70.67524,440000,Yes
1304,53.0,55.0,Avenida Portugal 941,440000,15,-33.454440000000005,-70.6338,440000,Yes
1305,85.0,85.0,Huérfanos/ Libertad,440000,15,-33.4417,-70.6751,440000,Yes
1306,70.0,75.0,"Arriendo lindo y amplio departamento, Santiago Centro",430000,15,-33.44637,-70.63985,430000,Yes
1307,47.0,49.0,San Pablo,430000,15,-33.4374,-70.6902,430000,Yes
1308,70.0,80.0,Av Portugal / Metro Santa Isabel,430000,15,-33.4474,-70.6358,430000,Yes
1309,60.0,66.0,Plaza Yungay,430000,15,-33.43155,-70.67471,430000,Yes
1310,47.0,52.0,Eleuterio Ramirez con Santa Rosa,430000,15,-33.4485,-70.6466,430000,Yes
1311,44.0,51.0,Departamento nuevo Edificio moderno solo adultos cerca metro,430000,15,-33.45,-70.65382,430000,Yes
1312,56.0,66.0,santa victoria 360,430000,15,-33.44798,-70.63764,430000,Yes
1313,60.0,60.0,CERCA METRO SANTA ANA,430000,15,-33.44236,-70.65942,430000,Yes
1314,75.0,75.0,DPTO STGO 2D 2B Lira 570,430000,15,-33.4499,-70.63878000000001,430000,Yes
1315,36.0,43.0,Eyzaguirre / San Francisco,430000,15,-33.452,-70.64694,430000,Yes
1316,60.0,60.0,PORTUGAL,430000,15,-33.446,-70.6373,430000,Yes
1317,55.0,55.0,Carmen 319,430000,15,-33.44768,-70.64256999999999,430000,Yes
1318,70.0,80.0,METRO SANTA ISABEL / AMPLIO DEPARTAMENTO CON GRAN TERRAZA Y BODEGA / DISPONIBILIDAD A PARTIR DEL 1 DE AGOSTO,430000,15,-33.44741,-70.63585,430000,Yes
1319,64.0,64.0,A UNA CUADRA DEL METRO ÑUBLE | EXCELENTE,430000,15,-33.4704,-70.626,430000,Yes
1320,68.0,72.0,Metro Santa Ana - San Pablo,430000,15,-33.4344,-70.656,430000,Yes
1321,50.0,50.0,SAN FRANCISCO / METRO SANTA LUCIA,428000,15,-33.4472,-70.6469,428000,Yes
1322,47.0,47.0,Avenida Santa Rosa 237,412000,14,-33.44706,-70.64542,412000,Yes
1323,37.0,37.0,Sara del Campo 535,412500,14,-33.44428,-70.64346,412500,Yes
1324,52.0,54.0,Metro línea 3 Plaza de Armas Barrio Bandera,425000,15,-33.43351,-70.65428,425000,Yes
1325,66.0,68.0,Carmen 368,419000,15,-33.44822,-70.64199,419000,Yes
1326,49.0,60.0,"Metro U. de Chile - San Diego (50 mts, amoblado) / 2D - 2B",425000,15,-33.44717,-70.65159,425000,Yes
1327,50.0,50.0,SAN FRANCISCO / METRO SANTA LUCIA,428000,15,-33.4472,-70.6469,428000,Yes
1328,49.0,49.0,Santa Isabel 55,413000,14,-33.44742,-70.63319,413000,Yes
1329,37.0,37.0,Sara del Campo 535,409500,14,-33.44428,-70.64346,409500,Yes
1330,49.0,49.0,Santa Isabel 55,413000,14,-33.44742,-70.63319,413000,Yes
1331,42.0,42.0,Santa Isabel  55 - Departamento 508,413000,14,-33.44735,-70.63327,413000,Yes
1332,34.0,34.0,Avenida Vocuña Mackenna  / Avenida Matta,410000,14,-33.4553,-70.63015,410000,Yes
1333,55.0,57.0,Maule 150,407000,14,-33.46535,-70.6293,407000,Yes
1334,49.0,57.0,San Pablo - San Martín,410000,14,-33.4344,-70.65926999999999,410000,Yes
1335,52.0,54.0,Vicuña Mackenna 2004,410000,14,-33.47039,-70.62599,410000,Yes
1336,45.0,46.0,Santa Isabel 55,410000,14,-33.44742,-70.63319,410000,Yes
1337,49.0,57.0,San Pablo - San Martín,410000,14,-33.434540000000005,-70.65925,410000,Yes
1338,84.0,84.0,Barrio Yungay: Arriendo loft,410000,14,-33.44181,-70.67535,410000,Yes
1339,32.0,35.0,"Disponib. 5 agosto, Metro Sta Lucía, incluye GG.CC, Internet, cable, agua, luz y bodega.",410000,14,-33.44292,-70.64220999999999,410000,Yes
1340,25.0,54.0,"DBSpropiedades arrienda hermoso departamento amoblado 405.000 ""con gastos comunes incluidos""",405000,14,-33.469120000000004,-70.642,405000,Yes
1341,51.0,51.0,Sara del Campo 535,405500,14,-33.44428,-70.64346,405500,Yes
1342,49.0,51.0,Parque Almagro - Estación Metro Parque A,410000,14,-33.4509,-70.649,410000,Yes
1343,60.0,60.0,SANTA ROSA / MARIN,410000,14,-33.447309999999995,-70.6455,410000,Yes
